2016-07-05 12:01:56.043 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/gradle
2016-07-05 12:01:56.045 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/gradle/wrapper
2016-07-05 12:01:56.048 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src
2016-07-05 12:01:56.049 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main
2016-07-05 12:01:56.050 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/java
2016-07-05 12:01:56.052 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/java/com
2016-07-05 12:01:56.053 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/java/com/example
2016-07-05 12:01:56.055 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/resources
2016-07-05 12:01:56.056 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/resources/static
2016-07-05 12:01:56.059 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/main/resources/templates
2016-07-05 12:01:56.061 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/test
2016-07-05 12:01:56.063 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/test/java
2016-07-05 12:01:56.071 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/test/java/com
2016-07-05 12:01:56.072 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/src/test/java/com/example
2016-07-05 12:01:56.077 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo
2016-07-05 12:01:56.079 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/.idea
2016-07-05 12:01:56.081 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/.idea/copyright
2016-07-05 12:01:56.082 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/out
2016-07-05 12:01:56.086 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/out/production
2016-07-05 12:01:56.087 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/out/production/lucene_demo
2016-07-05 12:01:56.088 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/lucene_demo/src
2016-07-05 12:01:56.096 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern
2016-07-05 12:01:56.098 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/css
2016-07-05 12:01:56.101 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/img
2016-07-05 12:01:56.103 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/img/background
2016-07-05 12:01:56.106 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/img/icons
2016-07-05 12:01:56.112 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/img/logos
2016-07-05 12:01:56.114 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/img/portfolio
2016-07-05 12:01:56.116 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/js
2016-07-05 12:01:56.118 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize
2016-07-05 12:01:56.119 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/css
2016-07-05 12:01:56.121 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/font
2016-07-05 12:01:56.123 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/font/material-design-icons
2016-07-05 12:01:56.127 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/font/roboto
2016-07-05 12:01:56.129 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/fonts
2016-07-05 12:01:56.131 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/fonts/roboto
2016-07-05 12:01:56.133 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/intern/materialize/js
2016-07-05 12:01:56.137 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0
2016-07-05 12:01:56.140 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis
2016-07-05 12:01:56.142 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/common
2016-07-05 12:01:56.145 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/icu
2016-07-05 12:01:56.146 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/icu/lib
2016-07-05 12:01:56.149 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/kuromoji
2016-07-05 12:01:56.150 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/morfologik
2016-07-05 12:01:56.152 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/morfologik/lib
2016-07-05 12:01:56.153 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/phonetic
2016-07-05 12:01:56.154 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/phonetic/lib
2016-07-05 12:01:56.178 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/smartcn
2016-07-05 12:01:56.188 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/stempel
2016-07-05 12:01:56.206 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/uima
2016-07-05 12:01:56.218 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/analysis/uima/lib
2016-07-05 12:01:56.235 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/backward-codecs
2016-07-05 12:01:56.237 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/benchmark
2016-07-05 12:01:56.239 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/benchmark/lib
2016-07-05 12:01:56.244 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/classification
2016-07-05 12:01:56.247 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/codecs
2016-07-05 12:01:56.249 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/core
2016-07-05 12:01:56.250 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/demo
2016-07-05 12:01:56.254 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs
2016-07-05 12:01:56.256 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common
2016-07-05 12:01:56.259 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org
2016-07-05 12:01:56.261 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache
2016-07-05 12:01:56.264 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene
2016-07-05 12:01:56.274 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis
2016-07-05 12:01:56.276 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ar
2016-07-05 12:01:56.278 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ar/class-use
2016-07-05 12:01:56.281 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/bg
2016-07-05 12:01:56.282 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/bg/class-use
2016-07-05 12:01:56.284 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/br
2016-07-05 12:01:56.286 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/br/class-use
2016-07-05 12:01:56.288 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ca
2016-07-05 12:01:56.290 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ca/class-use
2016-07-05 12:01:56.292 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/charfilter
2016-07-05 12:01:56.294 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/charfilter/class-use
2016-07-05 12:01:56.296 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/cjk
2016-07-05 12:01:56.298 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/cjk/class-use
2016-07-05 12:01:56.300 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ckb
2016-07-05 12:01:56.301 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ckb/class-use
2016-07-05 12:01:56.308 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/commongrams
2016-07-05 12:01:56.313 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/commongrams/class-use
2016-07-05 12:01:56.319 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/compound
2016-07-05 12:01:56.320 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/compound/class-use
2016-07-05 12:01:56.323 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/compound/hyphenation
